feature,importance
FunctionalAssessment,0.18744961783815448
ADL,0.17706032914662756
MMSE,0.11887049968430073
MemoryComplaints,0.0939302838097489
BehavioralProblems,0.04723872732599327
BMI,0.029972029156959113
DietQuality,0.029928207149510323
CholesterolHDL,0.0295883271335014
PhysicalActivity,0.029316945505467946
CholesterolTriglycerides,0.027987115265959147
AlcoholConsumption,0.027405686300249577
CholesterolTotal,0.027182257284727868
SleepQuality,0.026885337073424047
CholesterolLDL,0.02560622754644912
SystolicBP,0.02425668244558615
DiastolicBP,0.023394269593889697
Age,0.021863053072914557
EducationLevel,0.008580195715245625
Ethnicity,0.006656426890555277
Hypertension,0.0035877740236319295
CardiovascularDisease,0.003438377924596579
PersonalityChanges,0.003081251586241732
Diabetes,0.003055007846747316
Forgetfulness,0.002927916482992274
Gender,0.00291952925631512
Depression,0.0029057476201799874
Smoking,0.002843334996278537
DifficultyCompletingTasks,0.0027517960835207974
FamilyHistoryAlzheimers,0.0025801762102480963
Confusion,0.002417686686038928
Disorientation,0.0022662802296311924
HeadInjury,0.0020529031143128006
