feature,importance
FunctionalAssessment,0.17453991
MemoryComplaints,0.16553149
ADL,0.12257324
BehavioralProblems,0.10716756
MMSE,0.093485095
Hypertension,0.024787795
Forgetfulness,0.021446504
EducationLevel,0.017962066
Disorientation,0.01770339
PhysicalActivity,0.016400978
CholesterolHDL,0.014574075
SystolicBP,0.014102074
SleepQuality,0.013994163
BMI,0.013870968
DiastolicBP,0.013855861
CholesterolTotal,0.01341688
AlcoholConsumption,0.013340358
Age,0.012740059
DietQuality,0.01229285
CholesterolLDL,0.012232828
Gender,0.011783221
CholesterolTriglycerides,0.0113527225
CardiovascularDisease,0.011136876
Ethnicity,0.010314919
PersonalityChanges,0.010138319
DifficultyCompletingTasks,0.009996246
Diabetes,0.009624263
Smoking,0.008890226
Confusion,0.0072315265
FamilyHistoryAlzheimers,0.006899806
Depression,0.0066137398
HeadInjury,0.0
